startTime,flowct,mean_dest_bytes,stdev_dest_bytes,mean_dest_pkts,stdev_dest_pkts,mean_duration,stdev_duration,mean_intvl,stdev_intvl,mean_src_bytes,stdev_src_bytes,mean_src_pkts,stdev_src_pkts,A,C,D,F,H,I,Q,R,S,T,a,c,d,f,h,i,q,r,s,t
4961.205484,2,56602.5,25651.25,82.0,32.5,140.785234,67.845287,0.8247610000000001,0.0,1239.0,333.5,47.0,16.5,2,0,2,2,0,0,0,1,2,0,2,0,2,1,2,0,0,0,0,0
7385.783661,3,5182.666667,243.61111110000002,19.0,3.333333333,83.259106,32.30174133,2519.67682,2519.676355,2914.0,3.333333333,17.33333333,3.0555555560000003,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
404.708658,14,26562.0,0.0,30.0,0.417942177,91.75610864,33.32370808,8147.4360879999995,7578.4068290000005,408.85714289999993,52.00765564,14.5,0.82858907,14,0,14,0,0,0,0,14,14,0,14,0,14,14,14,0,0,0,0,0
4388.811454,1,0.0,0.0,4.0,0.0,0.8174779999999999,0.0,0.0,0.0,977.0,0.0,5.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
11669.30832,1,811.0,0.0,25.0,0.0,201.01834499999998,0.0,0.0,0.0,765.0,0.0,26.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
9900.098377,3,6722.0,984.1666667000002,19.33333333,1.611111111,63.194843000000006,0.7753768329999999,116.4352185,28.2655755,700.3333332999999,10.38888889,15.33333333,0.27777777800000003,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
6271.541612,11,103826.6364,80053.20972,142.0909091,100.63213959999999,112.4625946,48.35785069,3.8314714,9.937581072999999,2444.909091,1304.941706,79.36363636,50.84677620000001,11,0,11,11,0,0,0,0,11,0,11,0,11,11,11,0,0,0,0,0
6074.931872,1,5251.0,0.0,19.0,0.0,120.64573899999999,0.0,0.0,0.0,271.0,0.0,18.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
409.605727,23,282.17391299999997,17.30746853,4.7826086960000005,0.293346924,0.630430391,0.253822862,4831.603794,6470.365789,369.0,68.87067737,4.826086957,0.21439834100000002,22,0,22,22,0,0,0,0,22,0,22,0,22,22,22,0,0,0,0,0
7371.4149689999995,1,57015.0,0.0,66.0,0.0,119.87980800000001,0.0,0.0,0.0,328.0,0.0,32.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
2677.9442059999997,8,2163.5,1537.2443449999998,16.875,9.194494048,95.086217,55.94269563,1562.19883,1904.322341,3351.5,2408.413988,16.75,8.452678571,8,0,5,8,0,0,0,0,8,0,8,0,5,8,8,0,0,0,0,0
10191.5903,1,297.0,0.0,18.0,0.0,122.75,0.0,0.0,0.0,1593.0,0.0,19.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
7186.288119,4,7724.75,291.4791667,20.25,0.854166667,16.5276135,1.4220280419999998,0.001426333,0.000513335,928.25,8.395833332999999,16.5,0.375,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
12137.49333,4,657.0,0.0,16.0,0.0,121.3399003,0.001422938,0.004514333,0.001015444,287.0,0.0,17.0,0.0,4,0,4,4,0,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0
7744.764440000001,4,12755.5,5932.333333,22.25,9.895833332999999,93.7431045,60.46808625,1598.482595,2035.39325,690.75,126.77083329999999,15.5,5.416666667,4,0,4,2,0,0,0,2,4,0,4,0,4,2,4,0,0,0,0,0
9130.33966,3,1443.666667,553.8888889,9.666666667000001,0.27777777800000003,3.98003,0.7966475000000001,6.181044,6.174899,1384.333333,269.05555560000005,8.666666667000001,0.27777777800000003,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
11684.22913,3,4611.333333,355.55555560000005,12.66666667,1.7777777780000001,13.635834,5.307313833,0.293043,0.288095,1931.6666670000002,1049.111111,11.66666667,1.7777777780000001,3,0,3,3,0,0,0,0,3,0,3,0,3,3,3,0,0,0,0,0
43603.46186,1,978.0,0.0,5.0,0.0,0.056545000000000005,0.0,0.0,0.0,814.0,0.0,5.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
10204.1544,4,570.5,380.4583333,11.0,4.75,66.183593,33.69510708,2.302591333,1.226744848,548.75,378.7291667,11.75,4.645833333,4,0,2,4,0,0,0,0,4,0,4,0,2,4,4,0,0,0,0,0
12626.63968,7,62708.14286,43351.24864,76.57142857,41.04455782,134.3775821,36.05959322,2.068333,4.617541019,1368.0,438.1761905,37.42857143,15.46972789,7,0,6,7,0,0,0,0,7,0,7,0,6,7,7,0,0,0,0,0
2398.587137,3,5219.333333,1717.2777780000001,20.0,2.0,38.521024,13.6297385,32.336490500000004,31.8413345,2883.666667,861.3888889000001,17.0,1.8333333330000001,3,0,3,3,0,0,0,2,3,0,3,0,3,2,3,0,0,1,0,0
382.505564,86,0.0,0.0,0.0,0.0,5.432530337,4.194328678,1235.975604,2073.669077,359.3023256,230.04355189999998,7.186046512000001,4.600871038,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9762.830490999999,1,1821.0,0.0,22.0,0.0,168.854195,0.0,0.0,0.0,816.0,0.0,23.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
520.164591,31,55.19354839,7.6455986860000005,4.741935484,0.657553013,5.480051742000001,0.604056075,3517.6773350000003,3841.4909740000003,957.9354839,123.30669479999999,4.935483871000001,0.485685591,29,0,29,29,0,0,0,0,31,0,29,0,29,29,29,0,0,0,0,0
12193.42232,1,4890.0,0.0,10.0,0.0,6.624095,0.0,0.0,0.0,315.0,0.0,9.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
7858.892132999999,2,20457.0,615.5,38.0,1.5,130.49210549999998,63.05274725,0.006587999999999999,0.0,1016.5,98.75,26.0,1.0,2,0,2,2,0,0,0,2,2,0,2,0,2,2,2,0,0,2,0,0
2554.904167,5,1535.6,943.2633332999999,13.2,5.2933333330000005,78.4236704,34.45680655,1901.332007,3037.539487,483.2,250.1933333,13.6,4.946666667,5,0,3,5,0,0,0,0,5,0,5,0,3,5,5,0,0,0,0,0
1571.072559,3,6503.666667,1058.444444,19.66666667,3.4444444439999997,51.762091999999996,33.31298383,5.395281,5.389124,1383.0,568.6666667000001,16.66666667,2.9444444439999997,3,0,3,3,0,0,0,3,3,0,3,0,3,1,3,0,0,1,0,0
9942.287724,5,2060.4,630.63,9.0,0.6166666670000001,7.729263400000001,2.80318418,4.88550425,8.077863869,918.4,207.42,8.8,0.776666667,5,0,5,5,0,0,0,0,5,0,5,0,5,5,5,0,0,0,0,0
244.20845,6,3980.333333,630.9944444,21.0,3.5722222219999997,121.8486792,61.42854172,601.4124266,596.4097947,1525.5,537.2611111,18.33333333,2.9083333330000003,6,0,6,6,0,0,0,6,6,0,6,0,6,1,6,0,0,1,0,0
7520.965476,1,519.0,0.0,16.0,0.0,120.7898,0.0,0.0,0.0,310.0,0.0,17.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
4282.637688000001,3,136.33333330000002,113.6111111,4.666666667,0.611111111,9.788174332999999,2.545364889,91.6901725,91.43421049999999,1888.6666670000002,788.1111111,6.333333333,0.5555555560000001,3,0,2,3,0,0,0,0,3,0,3,0,1,3,3,0,0,0,0,0
4245.8345899999995,1,3464.0,0.0,13.0,0.0,72.66762800000001,0.0,0.0,0.0,581.0,0.0,12.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
